gender,age,race,education,marital_status,income,num_meals_not_home,num_meals_fast_food,num_ready_foods_30_days,num_frozen_foods_30_days
1,60,2,5,1,1.39,0,0,3,3
2,48,3,5,1,5.0,20,7,0,0
2,47,2,5,2,4.18,3,3,15,2
1,65,2,5,1,5.0,7,0,0,0
1,40,4,4,1,1.63,4,2,0,3
1,52,3,3,1,5.0,2,0,1,0
1,50,3,4,1,5.0,10,8,0,0
2,48,4,3,3,1.04,1,1,0,1
1,45,1,5,1,5.0,8,1,2,0
2,29,1,4,1,2.38,2,0,0,0
1,71,3,3,2,5.0,3,0,0,2
1,53,4,4,1,3.55,4,1,0,0
2,60,4,4,2,2.26,0,0,0,4
2,39,3,5,1,5.0,7,2,3,10
1,42,4,5,1,5.0,3,2,0,2
2,48,3,5,1,5.0,5,1,7,2
2,25,6,5,3,4.78,1,0,0,2
1,55,4,4,2,1.6,5,2,1,0
1,80,4,5,2,0.66,0,0,0,0
2,77,3,3,2,2.88,0,0,4,3
2,69,4,5,3,4.26,3,1,0,0
2,49,1,3,1,1.78,3,1,4,0
1,70,3,4,1,3.9,3,0,2,0
2,77,4,1,2,0.91,0,0,0,0
2,48,3,5,1,5.0,3,1,0,15
2,66,3,2,2,0.95,0,0,0,2
2,35,4,4,3,1.9,10,7,15,10
2,76,3,1,2,0.4,1,1,0,0
2,25,4,5,3,4.61,3,3,5,0
1,22,3,4,3,3.52,4,1,2,12
2,64,3,5,1,1.85,1,0,0,0
1,74,3,4,2,3.48,5,2,0,2
1,21,4,3,3,0.96,4,4,12,3
2,22,6,4,1,2.4,4,3,4,3
1,57,3,3,1,4.64,7,3,2,0
2,80,3,3,2,2.88,1,1,0,6
2,36,1,4,1,3.04,5,3,0,1
1,80,3,4,2,0.91,2,0,0,0
1,49,3,4,1,5.0,4,2,1,0
2,32,4,4,1,0.9,2,2,5,2
2,78,3,3,2,2.6,0,0,0,0
2,28,7,4,3,0.66,3,2,0,4
2,55,6,5,1,5.0,0,0,0,0
2,42,3,4,1,1.06,3,2,0,0
2,39,4,2,1,2.22,0,0,0,0
1,43,3,3,1,1.02,1,1,0,0
1,20,4,2,3,3.4,18,12,3,5
2,74,3,2,1,5.0,7,0,0,0
1,71,3,3,1,3.65,0,0,2,0
1,68,1,1,1,0.49,0,0,0,0
1,52,7,1,1,0.58,6,3,0,5
1,79,3,2,1,1.23,0,0,0,1
2,70,7,5,1,3.68,3,2,2,5
1,25,3,4,3,4.0,4,3,0,10
2,32,4,3,3,1.18,1,0,1,1
1,63,1,2,1,1.94,0,0,4,0
2,54,3,4,1,5.0,5,1,0,0
1,55,4,3,3,0.0,0,0,0,0
1,80,3,5,1,3.48,0,0,2,1
2,65,4,5,3,5.0,2,2,0,0
2,59,2,2,2,1.59,0,0,0,0
2,31,6,5,1,5.0,7,0,0,5
1,61,2,5,1,1.18,1,0,1,0
2,39,2,2,2,0.7,5,0,0,0
1,40,4,3,3,1.51,7,1,0,0
2,56,3,3,2,2.16,0,0,1,0
2,62,1,4,1,0.73,0,0,0,0
2,46,4,4,1,3.08,1,0,0,1
2,48,3,2,1,3.03,5,5,0,0
2,50,6,5,1,4.62,0,0,0,0
2,80,3,3,2,1.36,0,0,0,0
1,24,2,1,1,0.16,0,0,1,5
2,62,2,3,2,0.68,0,0,0,0
1,80,3,4,1,4.16,7,0,0,0
2,76,3,3,2,0.84,0,0,0,1
2,80,3,5,2,3.2,2,0,0,25
2,60,1,4,1,4.25,3,3,1,0
2,33,3,4,1,5.0,5,0,3,2
1,23,3,5,1,3.37,6,3,3,2
1,22,4,4,3,3.25,9,0,60,0
2,42,3,2,1,2.66,15,5,0,4
2,70,4,3,3,0.83,0,0,0,3
1,64,1,1,1,2.96,0,0,0,0
1,59,4,2,3,0.96,2,2,0,12
2,51,6,5,1,5.0,0,0,0,0
2,64,3,3,1,2.57,1,0,1,3
2,76,2,1,2,4.06,1,0,0,0
2,32,3,4,3,1.0,10,0,45,0
1,28,7,3,3,0.49,0,0,1,8
2,29,3,3,1,0.81,0,0,0,0
1,38,6,5,1,3.86,0,0,0,0
1,60,6,3,1,0.7,3,3,0,0
2,37,3,4,1,3.21,1,0,0,0
2,26,6,4,1,2.86,5,5,4,10
2,25,1,4,1,1.0,2,2,0,0
2,35,1,4,3,1.7,4,4,3,2
2,42,2,5,1,2.65,2,2,0,1
1,34,4,5,1,2.53,7,2,4,1
1,31,6,4,1,3.55,4,3,1,1
1,38,4,3,3,0.73,7,3,0,0
1,52,1,4,2,5.0,10,2,0,0
1,25,1,2,1,1.22,1,1,0,0
2,50,6,1,1,3.75,0,0,0,0
1,30,6,4,1,5.0,3,1,0,0
2,25,4,2,3,0.26,0,0,4,4
1,29,4,5,1,2.74,1,1,0,0
1,20,4,4,3,4.61,7,4,15,0
2,34,3,1,2,0.89,2,2,0,1
2,29,4,4,3,0.61,4,2,1,0
2,21,2,3,3,0.41,2,1,3,0
1,33,6,1,1,1.41,0,0,0,0
1,80,3,4,2,1.81,2,0,0,3
1,46,4,3,2,1.2,15,15,0,5
1,80,3,1,2,3.69,0,0,1,0
1,56,4,3,1,3.18,3,1,1,0
1,47,4,4,1,3.69,7,5,5,0
2,74,3,3,2,2.07,1,0,0,5
2,47,3,2,1,2.16,5,2,1,0
2,30,6,5,1,3.92,0,0,0,0
1,53,2,3,1,4.62,4,1,2,0
1,78,4,1,1,0.88,0,0,0,0
1,69,6,5,2,2.28,0,0,0,0
2,51,3,4,2,0.8,18,18,0,0
1,32,3,5,2,5.0,14,0,25,0
2,47,4,5,1,5.0,6,2,0,0
2,79,4,3,1,4.56,0,0,0,0
2,80,3,5,1,1.71,1,1,0,0
2,80,3,3,2,1.09,1,1,4,4
2,66,4,3,1,1.08,1,1,0,0
2,63,3,3,1,3.69,2,0,0,2
1,61,4,2,3,0.58,4,4,0,0
2,32,3,5,1,5.0,1,1,2,1
1,28,4,4,3,2.83,2,2,0,0
2,80,3,4,2,5.0,2,0,0,0
1,63,3,4,1,2.59,0,0,0,0
1,31,7,2,3,4.31,16,16,23,16
1,25,3,3,1,0.81,10,2,0,3
2,56,4,4,2,0.8,2,2,0,1
2,43,4,3,1,2.92,4,3,10,5
2,25,4,3,3,2.56,8,6,5,0
1,31,3,5,1,5.0,4,1,8,3
2,20,3,4,3,5.0,7,1,0,3
1,52,6,5,1,3.73,4,0,0,0
2,72,4,4,1,4.85,4,0,0,0
1,32,1,3,3,2.49,10,3,2,2
2,29,4,2,1,0.35,5,2,30,1
2,52,4,5,1,5.0,3,1,0,2
2,55,3,4,2,2.59,5,2,10,7
2,36,6,5,1,5.0,4,1,0,0
2,29,1,3,1,0.93,5,1,2,3
2,80,7,5,2,4.77,1,1,0,1
1,22,2,3,3,0.41,5,3,0,25
1,34,7,5,1,5.0,10,2,4,10
1,50,3,3,1,3.79,10,3,0,0
1,30,4,4,1,1.44,0,0,0,15
2,66,4,3,2,1.13,2,1,3,2
2,54,3,4,1,1.42,5,3,2,2
1,35,1,4,3,2.89,0,0,0,0
1,59,2,4,2,2.88,2,2,1,2
2,77,3,4,2,2.32,2,1,0,2
2,50,1,4,1,5.0,4,0,2,0
1,29,1,2,1,0.8,3,3,1,0
2,54,2,4,2,1.07,12,5,0,0
1,74,3,3,1,1.71,0,0,0,0
2,25,4,4,3,4.65,1,0,0,0
2,64,7,4,1,1.64,2,2,0,0
2,75,3,3,1,5.0,1,0,1,1
2,33,4,2,3,0.36,3,2,0,0
2,28,3,4,1,4.05,5,2,15,5
1,55,3,2,2,0.58,3,3,0,2
2,55,1,3,1,1.5,2,2,0,1
1,75,3,4,1,4.44,1,0,3,1
2,38,4,4,3,0.78,3,1,17,8
1,55,2,4,1,5.0,7,5,0,5
2,80,3,4,2,4.21,0,0,3,7
1,41,4,4,2,5.0,7,4,10,0
2,60,2,3,1,5.0,2,1,8,0
1,48,6,5,1,5.0,8,0,3,0
2,45,1,3,1,5.0,3,0,5,1
1,25,7,3,1,3.19,3,3,0,10
2,80,3,4,2,2.06,0,0,0,0
2,20,4,3,3,1.16,5,5,0,20
2,32,1,4,2,1.82,0,0,0,0
1,80,4,5,1,1.39,0,0,0,0
2,48,2,2,2,1.88,3,2,0,0
2,80,3,4,1,5.0,7,1,0,0
1,80,3,3,1,1.69,5,0,0,2
2,75,4,3,2,1.78,0,0,0,0
1,53,4,5,1,5.0,0,0,0,0
1,80,3,5,2,5.0,0,0,2,2
2,52,4,3,3,2.07,4,4,0,2
1,58,1,4,1,5.0,2,1,0,0
2,54,3,5,2,4.0,2,0,3,0
2,58,6,3,1,5.0,1,0,0,0
2,42,3,3,2,0.51,0,0,5,4
1,51,4,4,1,5.0,2,2,0,2
1,72,3,5,1,4.62,2,1,0,1
2,35,4,1,1,0.65,0,0,0,0
1,74,7,5,2,3.38,6,0,0,4
2,34,2,5,3,2.59,2,0,1,1
2,57,2,3,1,0.86,0,0,0,0
2,57,6,1,1,2.49,0,0,0,0
2,79,3,5,2,3.09,0,0,0,0
1,32,7,5,1,5.0,21,14,0,5
2,43,3,5,1,2.32,1,0,0,0
2,64,6,4,1,2.38,0,0,0,2
2,80,4,5,2,2.36,2,2,0,0
1,59,6,5,1,5.0,0,0,0,0
2,50,6,2,1,5.0,0,0,0,0
1,76,3,5,1,4.64,7,1,15,10
2,48,4,2,1,0.88,3,3,7,8
1,68,2,4,1,5.0,0,0,0,0
2,48,2,5,2,1.72,0,0,2,0
2,58,4,3,2,1.08,0,0,2,8
2,41,1,3,1,0.12,9,9,0,38
2,39,4,5,1,5.0,5,0,4,0
1,58,4,4,1,0.0,0,0,0,0
2,30,7,4,1,3.18,2,2,1,8
2,31,6,5,1,4.19,2,2,0,0
2,68,2,1,2,1.1,0,0,0,0
2,59,3,5,3,5.0,7,0,0,0
1,66,4,2,2,0.74,7,7,4,6
1,50,3,3,2,2.47,15,10,0,0
1,55,4,4,1,3.79,8,4,20,3
2,73,3,3,1,2.83,1,0,0,2
1,27,6,4,1,5.0,6,4,0,2
1,47,3,4,1,2.55,1,1,1,0
2,20,6,4,3,5.0,5,0,4,0
2,45,4,3,3,0.95,1,1,0,1
2,80,3,3,1,1.46,4,1,1,1
2,63,3,2,1,1.06,0,0,0,0
2,55,3,5,1,5.0,5,0,2,5
1,25,1,4,1,1.59,3,3,0,0
2,56,3,4,1,4.93,2,0,2,0
2,52,1,2,1,1.52,6,2,0,1
2,29,4,5,3,0.73,9,9,0,2
2,20,3,3,3,1.99,2,2,0,4
2,62,3,4,2,1.88,2,1,20,0
2,22,3,3,1,2.79,2,2,3,1
2,23,2,3,1,0.99,4,4,0,0
1,42,1,5,1,5.0,6,2,10,2
2,27,4,3,3,1.09,3,0,2,0
2,61,3,2,3,0.0,1,1,2,0
2,35,4,5,3,0.59,4,1,10,4
2,27,3,3,3,1.44,4,0,0,0
2,50,3,4,1,1.92,0,0,0,8
2,58,6,2,2,4.14,1,0,0,0
1,28,3,3,3,0.82,7,7,0,10
2,44,7,4,1,3.49,6,5,14,0
2,62,2,5,2,2.77,4,2,0,3
1,37,4,4,2,3.6,12,8,10,0
1,70,2,4,1,2.0,4,3,1,0
1,69,4,3,1,5.0,1,1,8,0
1,38,3,5,1,5.0,2,1,6,4
1,61,2,4,2,2.32,10,0,5,2
2,40,4,4,1,3.25,1,1,0,0
1,65,3,2,2,5.0,10,0,0,0
1,60,3,5,2,3.18,5,2,0,0
1,25,3,3,1,1.2,1,0,2,1
2,41,3,3,1,1.67,0,0,2,2
1,59,4,4,1,2.37,14,10,0,0
1,41,1,5,1,4.63,1,0,0,0
2,54,4,5,2,3.08,2,2,0,0
1,65,4,3,2,0.92,0,0,0,0
1,60,2,3,1,3.69,3,1,0,0
1,30,2,3,1,1.7,3,3,0,0
1,56,2,4,1,5.0,4,2,3,1
2,39,1,4,2,0.73,0,0,1,0
1,80,3,4,1,4.43,3,1,1,1
2,30,4,2,3,0.02,2,2,2,0
1,66,4,2,3,0.0,3,3,0,0
2,45,1,3,1,2.72,1,0,2,0
1,80,3,5,2,4.98,1,1,1,1
2,25,4,4,1,2.06,2,2,1,2
2,36,6,5,1,5.0,0,0,0,0
2,44,3,4,1,4.62,2,0,0,0
2,35,3,4,1,3.11,2,1,0,1
1,37,3,3,2,0.73,15,7,0,20
2,34,3,4,1,1.1,1,1,1,1
2,33,3,4,1,1.15,0,0,0,0
2,28,3,5,3,4.45,1,1,10,0
2,55,2,4,1,1.6,2,0,0,0
2,60,7,4,2,1.7,0,0,0,0
2,48,2,5,1,2.89,2,0,0,0
1,48,3,4,1,2.44,7,7,2,15
1,52,4,3,3,0.24,0,0,0,0
2,54,3,5,1,1.1,0,0,8,7
1,69,4,4,1,0.8,0,0,0,0
1,49,3,2,2,1.19,1,1,1,2
1,40,7,5,1,5.0,0,0,3,4
1,38,3,4,1,1.88,10,7,4,0
1,52,2,4,1,1.92,1,0,0,3
1,41,2,5,1,5.0,4,1,0,0
1,61,7,4,1,5.0,7,3,12,2
2,60,1,4,1,3.4,4,4,0,0
2,63,6,5,1,5.0,10,10,0,0
1,70,6,5,1,3.65,1,1,4,2
1,22,4,3,3,1.72,7,5,10,5
1,45,3,4,2,1.78,1,0,0,0
2,52,4,4,2,0.59,7,7,0,3
1,54,3,3,2,3.04,4,4,4,0
2,29,4,4,3,1.01,3,3,0,0
2,54,4,3,1,4.91,4,4,7,0
1,30,3,4,2,1.52,6,4,4,6
2,22,4,3,3,0.47,12,1,0,2
2,53,2,2,2,1.44,8,2,0,0
1,27,1,2,3,2.39,1,1,0,0
1,25,2,4,1,2.32,14,5,2,5
1,30,1,3,3,1.98,17,17,0,0
2,38,3,4,1,3.18,7,2,0,0
2,57,3,5,1,5.0,7,0,4,7
2,61,3,4,2,2.48,6,3,10,15
2,59,6,4,1,2.25,0,0,0,0
2,80,3,4,1,2.46,3,3,0,4
2,27,4,4,3,0.85,0,0,2,0
2,58,4,4,3,0.0,4,0,1,0
2,63,4,4,1,1.84,1,0,3,2
2,74,3,4,2,1.41,2,0,0,0
1,67,4,3,1,1.46,2,0,0,8
2,60,4,3,2,1.17,2,2,0,0
1,37,3,5,1,5.0,2,0,2,0
1,70,3,4,1,5.0,4,3,0,12
1,37,2,4,1,1.01,7,7,0,0
2,57,7,5,2,2.61,4,3,0,0
2,43,3,5,1,1.81,1,1,0,0
2,25,7,4,1,2.15,2,0,0,0
2,32,4,4,2,1.82,5,3,6,3
2,60,2,5,1,5.0,2,0,0,0
2,28,2,4,1,3.27,2,2,0,0
1,80,3,5,1,4.88,0,0,0,1
2,34,1,3,1,0.77,3,2,1,0
2,26,4,4,3,2.07,3,2,0,2
1,44,4,5,1,5.0,4,1,5,0
1,62,4,4,3,1.08,3,2,2,0
2,40,4,3,2,2.15,2,2,0,1
1,41,7,4,2,4.28,5,3,5,0
1,39,6,1,1,1.39,0,0,0,0
1,37,1,3,1,1.91,10,0,20,0
1,60,4,5,3,3.96,4,0,0,0
2,29,4,1,3,0.0,2,0,2,1
2,31,2,4,1,1.99,3,2,0,0
2,29,7,4,1,1.34,2,0,4,3
1,34,1,4,2,1.06,4,0,0,0
2,60,4,4,3,0.73,1,1,0,0
1,70,7,1,1,1.11,1,1,0,0
1,60,4,3,1,2.13,0,0,1,1
1,70,7,2,2,1.66,15,6,8,0
1,63,7,4,1,1.3,21,18,10,0
1,42,1,5,3,3.65,14,5,1,0
1,60,7,3,1,1.05,0,0,0,2
1,45,1,3,1,3.38,3,0,4,0
2,75,3,4,1,2.79,2,0,1,0
2,80,2,1,2,1.18,1,0,0,0
1,46,3,4,1,4.41,5,1,3,4
2,70,7,4,2,1.03,0,0,0,0
1,43,1,2,2,2.47,2,0,0,0
1,68,3,5,1,5.0,3,1,0,0
1,36,7,4,3,2.52,6,6,0,2
1,63,6,2,1,0.74,0,0,0,0
1,64,3,4,1,5.0,4,2,0,1
1,79,3,4,1,2.79,2,0,0,2
1,21,1,4,3,1.77,3,2,0,0
2,77,3,2,2,1.64,4,3,1,0
1,48,4,2,3,0.98,2,2,0,1
2,80,1,4,2,0.7,0,0,0,0
2,38,6,5,3,3.55,5,0,0,0
2,53,4,2,1,0.04,3,3,0,0
1,27,3,3,3,1.32,4,4,17,0
2,80,3,5,1,5.0,1,0,1,2
2,74,2,3,2,1.79,0,0,0,0
2,79,3,3,1,2.46,1,1,1,1
2,64,4,4,1,2.24,2,0,0,0
1,61,4,5,1,4.25,0,0,2,0
2,34,1,4,1,2.63,2,2,0,0
1,46,3,4,1,4.6,5,3,1,2
1,46,3,2,1,0.29,1,1,0,6
1,39,2,5,1,5.0,5,3,12,10
1,80,3,4,1,1.36,5,3,2,2
2,49,4,4,2,1.8,2,1,6,0
2,61,3,3,2,3.86,2,0,0,4
1,49,7,1,1,0.61,1,1,0,0
2,34,4,4,1,1.73,2,1,1,0
1,32,6,4,3,4.16,12,3,0,0
2,67,1,4,1,2.11,4,2,0,0
1,71,7,2,2,1.4,1,1,1,0
2,65,4,3,1,2.43,12,6,0,0
2,80,4,2,1,0.65,0,0,3,4
1,78,3,1,2,1.02,0,0,0,0
2,45,4,4,3,0.43,5,2,0,5
2,37,1,4,1,5.0,6,1,2,0
2,80,3,3,1,2.07,1,1,0,4
2,44,1,4,1,4.78,3,3,0,0
2,20,3,4,3,1.68,8,2,5,0
1,21,4,3,3,0.65,3,3,0,3
2,40,7,3,3,0.59,0,0,3,0
1,80,4,4,2,3.23,0,0,0,0
2,75,3,3,1,1.85,1,1,2,0
1,54,6,4,1,2.94,3,1,1,0
1,70,3,5,1,5.0,0,0,0,1
1,61,2,5,1,5.0,9,0,0,0
2,33,1,2,1,0.85,1,1,0,0
1,40,2,4,1,2.65,4,1,0,0
1,47,1,2,1,1.96,6,3,2,0
1,64,6,3,1,1.54,0,0,0,0
1,36,7,5,1,5.0,2,0,2,0
1,44,2,3,1,4.14,3,1,2,1
2,48,1,1,1,0.29,0,0,0,0
1,50,4,2,1,4.62,1,1,2,0
1,52,2,5,1,0.81,0,0,0,0
2,31,4,4,3,2.2,0,0,0,1
2,35,4,4,3,2.22,5,3,3,10
2,52,3,4,3,0.75,0,0,1,1
2,65,4,3,2,0.97,4,4,0,0
2,39,3,4,1,3.05,3,3,1,0
1,28,4,3,1,2.62,5,5,2,0
1,50,6,5,1,4.98,0,0,0,0
2,64,1,4,2,0.53,2,0,0,0
2,62,1,2,3,0.73,2,2,3,8
2,35,4,4,1,1.3,4,4,10,2
1,47,4,4,2,3.54,1,1,0,0
2,31,6,5,1,4.93,3,1,0,0
1,62,3,3,1,5.0,6,2,0,2
2,28,7,4,2,0.94,2,2,0,5
2,46,3,3,1,0.29,1,1,0,2
2,65,3,5,1,1.48,3,0,2,2
1,53,1,1,1,2.38,2,0,2,0
2,42,6,5,1,5.0,2,1,0,0
2,61,7,5,3,1.2,1,1,0,0
1,64,4,4,1,1.51,0,0,8,1
2,38,2,2,1,1.71,1,1,0,0
2,71,6,3,2,1.69,0,0,0,21
1,34,4,4,3,1.89,2,2,1,0
1,56,3,5,1,5.0,7,7,2,0
2,53,3,4,1,3.71,2,2,15,2
1,39,1,2,1,4.07,4,4,12,12
1,55,3,2,2,0.0,3,0,0,10
2,60,3,2,1,3.18,4,4,6,0
2,73,4,4,2,0.56,2,1,0,0
2,31,3,5,1,2.88,14,3,6,4
1,50,3,5,2,1.92,21,10,0,15
1,70,7,1,1,1.3,0,0,0,0
2,47,3,4,1,5.0,2,1,10,2
2,58,6,2,3,0.7,2,2,0,4
2,33,4,4,1,0.8,2,2,0,4
1,62,7,4,1,1.72,4,4,4,0
1,44,6,5,1,5.0,4,0,1,0
2,56,4,4,1,2.37,4,1,0,0
2,22,7,4,3,0.86,4,2,3,3
1,23,4,4,3,1.41,2,2,0,0
2,69,4,4,2,2.24,5,5,0,0
1,71,4,4,1,4.64,1,1,1,1
1,80,4,2,2,1.39,1,0,0,0
2,39,4,3,3,0.74,6,6,8,12
2,37,4,2,1,1.14,3,0,0,0
1,49,4,3,1,3.2,3,3,8,0
2,54,3,4,3,3.52,1,1,0,0
2,52,3,5,1,4.93,3,1,3,0
2,34,3,3,1,1.82,0,0,0,0
2,80,3,3,2,1.66,0,0,0,0
1,65,3,4,1,4.69,0,0,30,0
2,61,4,3,1,2.03,3,0,2,0
1,60,3,3,2,2.64,3,0,0,0
2,23,4,4,1,2.6,18,18,0,20
2,55,3,3,1,1.77,1,0,1,2
2,57,3,4,1,5.0,1,1,0,4
1,25,1,2,3,5.0,15,15,1,5
1,64,4,4,1,2.66,2,2,0,0
1,58,4,4,1,2.46,2,1,0,0
1,23,3,4,1,1.78,3,1,5,3
2,39,4,2,3,0.92,1,0,0,0
2,39,4,5,1,1.59,2,1,2,0
2,43,4,4,2,1.24,4,1,8,21
1,46,4,4,3,1.77,4,2,2,2
2,68,4,3,1,0.99,2,2,0,8
2,57,3,3,1,2.65,2,1,0,2
1,36,4,5,1,4.81,7,2,4,1
2,28,6,5,2,3.82,1,1,0,0
2,27,6,5,3,5.0,15,15,20,0
1,61,3,1,1,1.72,1,1,0,1
1,37,3,3,1,1.63,5,0,0,0
1,40,6,5,1,4.08,4,2,0,0
1,40,3,5,1,5.0,4,0,10,2
2,55,1,3,3,1.44,0,0,0,1
1,39,1,2,1,0.61,7,0,8,0
1,47,2,5,1,2.92,2,2,10,0
2,34,1,2,1,1.91,12,12,3,0
2,24,6,4,1,5.0,0,0,1,2
2,49,4,2,3,0.42,1,1,0,2
2,61,4,4,2,1.98,0,0,0,0
1,31,7,2,3,0.96,3,0,10,0
2,27,3,5,1,0.85,3,1,2,2
1,34,4,3,1,1.68,3,3,12,4
2,59,4,4,1,2.64,6,6,1,0
2,39,2,3,2,0.6,5,5,0,0
1,61,3,3,2,4.12,2,2,0,0
1,80,7,5,1,2.46,2,0,1,12
2,37,3,3,1,5.0,4,4,0,8
1,48,4,5,1,0.39,2,1,12,0
2,40,3,2,1,0.28,0,0,0,2
1,41,6,5,1,5.0,5,2,15,0
1,69,4,4,1,3.52,1,1,0,0
2,65,4,5,1,5.0,7,1,0,0
2,57,7,4,2,1.82,0,0,0,1
2,30,6,4,3,5.0,14,2,2,1
1,56,7,4,1,1.93,5,5,0,0
2,33,3,3,1,5.0,5,5,10,3
2,58,3,4,1,5.0,3,1,10,0
1,60,2,4,2,2.07,0,0,3,0
2,29,2,1,1,1.37,1,0,0,0
2,67,3,5,2,5.0,1,1,4,1
1,53,6,4,3,0.87,1,1,0,4
1,44,1,5,1,2.98,6,0,0,0
2,75,4,4,1,5.0,5,2,0,2
1,75,3,3,1,2.84,2,2,0,2
2,80,3,2,2,0.91,0,0,0,0
1,62,3,2,1,3.67,9,7,0,4
1,66,6,5,1,2.94,0,0,0,0
1,43,6,4,1,1.67,0,0,0,0
2,78,3,5,1,5.0,15,0,0,0
2,33,1,3,1,1.92,0,0,5,3
1,31,2,5,1,0.99,10,10,0,0
2,63,3,5,1,5.0,5,3,2,0
2,80,3,3,1,0.51,1,0,0,0
2,56,2,3,1,2.65,4,4,0,0
2,49,3,4,2,0.82,2,2,30,21
1,60,1,1,2,1.18,1,1,1,0
1,52,3,5,1,5.0,5,1,0,0
2,59,3,3,2,0.74,1,1,0,0
2,43,4,4,1,3.4,2,1,3,0
1,22,4,2,1,1.99,3,3,0,0
1,63,4,4,1,4.35,5,0,0,0
1,39,3,4,2,3.44,10,4,0,15
1,80,3,3,1,1.94,0,0,0,10
1,28,4,2,3,1.8,2,2,0,5
1,47,3,4,1,1.42,5,3,0,14
1,59,3,2,1,3.13,0,0,0,4
1,48,6,5,1,1.99,1,0,0,0
2,58,2,2,1,1.89,0,0,0,0
1,30,4,3,3,1.77,3,3,0,0
2,80,3,3,2,5.0,4,0,1,2
1,69,4,3,1,4.02,0,0,0,0
1,44,7,2,1,1.15,2,2,1,0
2,80,3,3,2,1.28,0,0,0,0
1,54,4,4,2,1.2,1,1,0,0
1,56,3,5,3,1.6,0,0,4,0
2,23,4,4,1,0.37,3,3,0,8
1,38,4,3,1,1.77,2,2,21,0
1,61,4,5,1,5.0,6,0,0,0
